total_packets,outgoing_packets,incoming_packets,packet_ratio,unique_destinations,dest_diversity_ratio,protocol_diversity,tcp_packets,udp_packets,icmp_packets,avg_time_between_packets,std_time_between_packets,min_time_between_packets,rapid_packets,unique_ports,port_range,sequential_ports,common_ports,avg_packet_size,std_packet_size,small_packets,response_ratio,no_response_ratio,window_id,packet_position,is_scan,scan_score,rf_prediction,rf_probability,svm_prediction,svm_probability
1000,149,111,1.3423423423423424,8,0.053691275167785234,6,114,14,0,1,0,1,149,0,0,0,0,177.69127516778522,342.3153260129656,119,0.7449664429530202,0.2550335570469799,91,91000,1,8,1,0.99,1,0.9875466245987314
1000,719,66,10.893939393939394,13,0.01808066759388039,6,676,17,0,1,0,1,719,0,0,0,0,78.77329624478442,156.43110583787364,686,0.0917941585535466,0.9082058414464534,92,92000,1,12,1,1.0,1,0.9629020101584995
1000,360,19,18.94736842105263,4,0.011111111111111112,5,345,9,0,1,0,1,360,0,0,0,0,61.794444444444444,90.66373619574605,355,0.05277777777777778,0.9472222222222222,93,93000,1,9,1,0.99,1,0.9807977100069304
1000,536,21,25.523809523809526,6,0.011194029850746268,5,510,15,0,1,0,1,536,0,0,0,0,67.25373134328358,115.88780823797033,524,0.03917910447761194,0.960820895522388,94,94000,1,12,1,1.0,1,0.9737524476803526
1000,443,21,21.095238095238095,3,0.006772009029345372,4,423,11,0,1,0,1,443,0,0,0,0,60.693002257336346,72.787707310618,435,0.04740406320541761,0.9525959367945824,95,95000,1,9,1,1.0,1,0.9706747287068676
1000,122,19,6.421052631578948,7,0.05737704918032787,5,87,25,0,1,0,1,122,0,0,0,0,88.54918032786885,196.36128375943449,111,0.1557377049180328,0.8442622950819673,96,96000,1,11,1,0.99,1,0.981831053237578
1000,40,8,5.0,5,0.125,5,2,35,0,1,0,1,40,0,0,0,0,60.925,28.599253621245218,32,0.2,0.8,97,97000,1,7,1,0.78,1,0.8522175072130901
1000,44,9,4.888888888888889,3,0.06818181818181818,5,3,21,0,1,0,1,44,0,0,0,0,57.81818181818182,20.958733238030337,41,0.20454545454545456,0.7954545454545454,98,98000,1,7,1,0.87,1,0.7747492599263611
1000,72,26,2.769230769230769,10,0.1388888888888889,8,15,35,0,1,0,1,72,1,0,0,0,114.51388888888889,242.71254620656094,59,0.3611111111111111,0.6388888888888888,99,99000,1,9,1,0.94,1,0.9559741885331067
1000,168,114,1.4736842105263157,12,0.07142857142857142,8,82,36,0,1,0,1,168,0,0,0,0,353.57738095238096,532.1872334633395,101,0.6785714285714286,0.32142857142857145,100,100000,1,8,1,1.0,1,0.999998525484714
1000,156,120,1.3,13,0.08333333333333333,6,77,33,0,1,0,1,156,0,0,0,0,340.78205128205127,515.5035157712693,95,0.7692307692307693,0.23076923076923078,101,101000,1,8,1,0.99,1,0.9999982842899271
1000,115,111,1.0360360360360361,8,0.06956521739130435,6,71,4,0,1,0,1,115,0,0,0,0,561.2260869565217,637.9393368958487,44,0.9652173913043478,0.034782608695652174,102,102000,1,8,1,0.97,1,0.9897039338189959
1000,200,133,1.5037593984962405,11,0.055,7,132,10,0,1,0,1,200,0,0,0,0,796.465,687.5476109781846,75,0.665,0.335,103,103000,1,8,1,0.99,1,0.9974572412212639
1000,42,45,0.9333333333333333,5,0.11904761904761904,4,28,3,0,1,0,1,42,0,0,0,0,963.1904761904761,678.4145879016876,11,1.0714285714285714,0.0,104,104000,0,5,0,0.4,1,0.6117366094626961
1000,132,107,1.233644859813084,10,0.07575757575757576,6,74,11,0,1,0,1,132,0,0,0,0,262.97727272727275,435.16501153675904,76,0.8106060606060606,0.1893939393939394,105,105000,1,8,1,0.99,1,0.9951018472159392
1000,118,116,1.0172413793103448,13,0.11016949152542373,8,39,15,0,1,0,1,118,0,0,0,0,328.4491525423729,488.6335665401049,83,0.9830508474576272,0.01694915254237288,106,106000,1,8,1,0.99,1,0.9999937410377164
1000,373,160,2.33125,16,0.04289544235924933,9,178,52,0,1,0,1,373,0,0,0,0,154.76407506702412,296.6881587536643,278,0.4289544235924933,0.5710455764075067,107,107000,1,9,1,1.0,1,0.9963144425266098
1000,256,3,85.33333333333333,3,0.01171875,3,249,6,0,1,0,1,256,0,0,0,0,53.875,2.42535625036333,256,0.01171875,0.98828125,108,108000,1,9,1,0.99,1,0.9710000198277058
1000,60,1,60.0,1,0.016666666666666666,3,58,1,0,1,0,1,60,0,0,0,0,54.266666666666666,3.956829181951281,60,0.016666666666666666,0.9833333333333333,109,109000,1,8,1,0.86,1,0.961199394531536
1000,78,0,78.0,1,0.01282051282051282,2,76,2,0,1,0,1,78,0,0,0,0,53.69230769230769,1.909019550543065,78,0.0,1.0,110,110000,1,8,1,0.78,1,0.9668891844622755
1000,103,0,103.0,1,0.009708737864077669,2,100,3,0,1,0,1,103,0,0,0,0,53.650485436893206,2.02779092525599,103,0.0,1.0,111,111000,1,8,1,0.88,1,0.9597151161067632
1000,370,6,61.666666666666664,3,0.008108108108108109,4,356,9,0,1,0,1,370,0,0,0,0,54.48108108108108,6.825023217361776,366,0.016216216216216217,0.9837837837837838,112,112000,1,9,1,1.0,1,0.9740014872753877
1000,269,9,29.88888888888889,2,0.007434944237918215,3,255,7,0,1,0,1,269,0,0,0,0,55.4907063197026,10.507145181845793,262,0.03345724907063197,0.966542750929368,113,113000,1,8,1,1.0,1,0.961195649760151
1000,132,22,6.0,6,0.045454545454545456,5,119,2,0,1,0,1,132,0,0,0,0,117.50757575757575,263.6353743889327,118,0.16666666666666666,0.8333333333333334,114,114000,1,11,1,0.99,1,0.9731210000932576
1000,808,56,14.428571428571429,12,0.01485148514851485,8,737,30,0,1,0,1,808,1,0,0,0,68.31064356435644,109.75576710121837,774,0.06930693069306931,0.9306930693069307,115,115000,1,12,1,1.0,1,0.9612017322121085
1000,790,29,27.24137931034483,7,0.008860759493670886,8,742,20,0,1,0,1,790,0,0,0,0,61.22784810126582,77.68376134924208,772,0.03670886075949367,0.9632911392405064,116,116000,1,12,1,1.0,1,0.9612363580640605
1000,614,32,19.1875,9,0.014657980456026058,6,583,15,0,1,0,1,614,0,0,0,0,75.46254071661238,152.54861840161723,594,0.05211726384364821,0.9478827361563518,117,117000,1,12,1,1.0,1,0.9712393785064569
1000,773,30,25.766666666666666,8,0.01034928848641656,5,729,31,0,1,0,1,773,0,0,0,0,54.707632600258734,8.45959039476652,761,0.03880983182406209,0.9611901681759379,118,118000,1,12,1,0.99,1,0.9622533872886943
1000,149,70,2.1285714285714286,11,0.0738255033557047,8,27,42,0,1,0,1,149,0,0,0,0,140.26845637583892,270.3086481821486,94,0.4697986577181208,0.5302013422818792,119,119000,1,9,1,1.0,1,0.9973512939801141
1000,311,261,1.1915708812260537,15,0.04823151125401929,10,131,6,0,1,0,1,311,0,0,0,0,225.4501607717042,372.44226648284337,210,0.8392282958199357,0.1607717041800643,120,120000,1,8,1,1.0,1,0.9971806347123826
1000,137,170,0.8058823529411765,12,0.08759124087591241,6,82,2,0,1,0,1,137,0,0,0,0,144.64233576642334,256.3887712401491,104,1.2408759124087592,0.0,121,121000,1,8,1,0.99,1,0.986117938261513
1000,63,87,0.7241379310344828,9,0.14285714285714285,5,36,2,0,1,0,1,63,0,0,0,0,177.34920634920636,317.7421433119263,46,1.380952380952381,0.0,122,122000,1,8,1,0.96,1,0.7622505013650094
1000,13,18,0.7222222222222222,3,0.23076923076923078,3,4,2,0,1,0,1,13,0,0,0,0,237.30769230769232,386.4870382939521,8,1.3846153846153846,0.0,123,123000,0,3,0,0.01,0,0.013267739211218418
1000,34,35,0.9714285714285714,4,0.11764705882352941,4,6,0,0,1,0,1,34,0,0,0,0,134.26470588235293,241.918757816016,30,1.0294117647058822,0.0,124,124000,0,5,0,0.04,0,0.045190245863237714
1000,50,51,0.9803921568627451,6,0.12,4,23,4,0,1,0,1,50,0,0,0,0,225.64,396.2719000579151,34,1.02,0.0,125,125000,1,8,1,0.94,0,0.3407418722097804
1000,6,5,1.2,3,0.5,2,3,3,0,1,0,1,6,0,0,0,0,54.666666666666664,14.62418088874268,6,0.8333333333333334,0.16666666666666666,126,126000,0,3,0,0.0,0,0.0018771300591509225
1000,22,13,1.6923076923076923,6,0.2727272727272727,6,7,3,0,1,0,1,22,0,0,0,0,189.45454545454547,337.456978178274,16,0.5909090909090909,0.4090909090909091,127,127000,1,8,1,0.61,1,0.509661498593443
